,a,b,c,k,tau,std(x[-10%:]),x[-1],t/T
0,0.5,0.5,0.5,0.5,2,1.8942635639282213e-07,0.5000000553291221,0.03018
1,0.5,0.5,0.5,0.5,3,1.9524489208668038e-07,0.5000001019593623,0.030330000000000003
2,0.5,0.5,0.5,0.5,4,2.256092750873319e-07,0.5000001498786593,0.03048
3,0.5,0.5,0.5,1.0,2,3.2428237381870205e-07,0.666666591062086,0.031120000000000002
4,0.5,0.5,0.5,1.0,3,3.930061890698395e-07,0.6666666909310702,0.03143
5,0.5,0.5,0.5,1.0,4,2.4738253747571517e-07,0.6666667634140118,0.03277
6,0.5,0.5,0.5,2.0,2,2.501044993315781e-07,0.7999999607286151,0.032369999999999996
7,0.5,0.5,0.5,2.0,3,2.5458181410353957e-07,0.8000000127773917,0.03384
8,0.5,0.5,0.5,2.0,4,3.5464705650733894e-07,0.7999998698230326,0.034910000000000004
9,0.5,0.5,0.5,5.0,2,2.919559149165654e-07,0.9090907969903388,0.03472
10,0.5,0.5,0.5,5.0,3,2.855369104701413e-07,0.9090910560250455,0.03922
11,0.5,0.5,0.5,5.0,4,3.1922403149215233e-07,0.9090909434120268,0.04453
12,0.5,0.5,0.5,10.0,2,3.1028228134241086e-07,0.9523810024859896,0.039009999999999996
13,0.5,0.5,0.5,10.0,3,2.7783792513919805e-07,0.9523808070847863,0.05242
14,0.5,0.5,0.5,10.0,4,2.896089510416505e-07,0.9523808137094354,0.07851999999999999
15,0.5,0.5,1.0,0.5,2,3.609779614028563e-07,0.33333350478437057,0.02896
16,0.5,0.5,1.0,0.5,3,4.1329836364235015e-07,0.33333347621359466,0.02911
17,0.5,0.5,1.0,0.5,4,4.4999547564762676e-07,0.3333334143842558,0.0293
18,0.5,0.5,1.0,1.0,2,3.2295970984293445e-07,0.5000001156076291,0.03052
19,0.5,0.5,1.0,1.0,3,3.340150714291124e-07,0.5000001939933879,0.030850000000000002
20,0.5,0.5,1.0,1.0,4,3.014667217117369e-07,0.4999999306253353,0.031920000000000004
21,0.5,0.5,1.0,2.0,2,3.3296735430452013e-07,0.6666664803959059,0.03151
